Age,Date,A,B,C,D,E
27,1977-06-02,,,,,468.7
40,2003-12-31,,,1323.0,1305.9,
63,1981-05-15,,311.7,,,
38,1994-09-29,706.2,405.5,,,793.6
45,2007-03-30,,,1270.0,1420.2,
33,2008-07-14,,,,1376.3,
55,2016-07-31,,644.4,1643.6,,
31,2008-01-17,,,1316.9,,1050.8
33,1989-01-06,582.4,,746.4,787.7,
31,1990-03-23,,,822.0,762.6,
40,1974-01-26,214.2,206.5,400.4,326.3,457.4
59,1990-09-04,,,896.4,,
22,2002-10-28,870.8,,1115.1,,895.9
32,1992-06-22,665.9,443.6,,845.3,
27,1974-07-16,196.2,204.4,390.6,,
34,2003-05-27,,,,,970.3
36,2008-06-02,,,1283.1,1472.0,912.1
37,2014-02-02,,725.9,1607.9,1588.7,
19,1976-02-21,239.4,241.0,,408.4,
14,1986-02-25,,,,,625.9
42,1982-10-04,,,602.2,,
49,2001-04-20,762.2,568.3,1164.4,,
17,2010-11-23,,,1348.5,,1035.0
54,1978-04-03,283.5,263.5,,,548.9
30,2003-07-26,817.5,558.6,,1151.9,979.6
49,1984-02-22,411.6,308.7,709.0,,
51,1999-08-04,,,,,932.4
33,2017-06-16,,,,1812.6,1104.7
44,2020-10-07,,,,,1310.6
27,2007-08-10,,590.0,1407.8,1425.5,
30,2020-01-17,,,,,1283.2
56,1983-10-06,406.5,,,,
44,2018-12-11,1163.3,,,1634.9,
30,1988-07-13,,339.8,,,641.9
26,1988-08-23,,,827.2,,
26,2020-10-09,1315.1,783.7,1573.5,1948.2,
36,1973-03-28,,,,,467.5
65,1973-07-09,,,,,453.4
31,2016-03-04,1221.6,,,,1182.8
44,1989-04-26,,383.5,866.2,826.3,711.0
57,2006-07-16,920.7,,,1410.4,1048.1
58,1975-09-03,214.3,216.9,479.0,349.4,
55,1983-01-04,417.5,,,547.4,
62,2017-01-01,,,1608.1,1544.1,
25,1999-07-25,722.8,,,,929.0
58,1997-06-19,815.7,,,1052.8,
51,1982-11-11,,312.7,716.4,,641.6
48,1982-08-29,382.0,319.9,669.3,637.2,
45,2014-03-08,,,1579.6,,1163.1
31,1970-09-30,,,,,391.8
50,2008-04-12,,610.7,,1534.3,
22,2011-10-03,1067.4,,,1544.0,1129.3
16,1973-05-04,,,373.3,,489.3
57,1971-12-01,,176.8,,243.5,447.2
46,1989-05-24,,351.8,780.6,766.2,
29,1972-03-15,,,363.3,,426.2
16,2003-10-06,871.5,500.7,1263.4,1276.5,893.7
66,2000-11-29,797.2,,1113.3,,944.6
39,1978-11-19,,264.8,497.9,,
23,2013-01-11,1193.6,698.7,,1553.6,
31,2013-06-29,,596.0,,1476.4,1041.6
36,2005-11-27,,,1205.2,1263.8,
18,1981-12-23,403.0,318.8,581.5,,623.7
55,1970-02-24,104.0,,287.4,211.0,
54,2013-07-07,,,1367.1,,
22,2017-08-19,1103.9,651.2,,1549.7,
46,2001-06-21,846.8,,1227.6,1143.4,
14,1990-09-15,633.2,409.0,,795.4,758.7
39,2000-12-30,884.0,495.3,,1264.9,
63,1981-08-29,371.5,,,,532.4
14,1970-09-02,104.6,,287.1,227.5,397.0
51,1990-09-24,633.7,,941.9,822.3,795.8
44,2003-06-25,,,1313.4,1236.2,914.5
41,2019-12-13,,798.5,,,1279.1
35,1988-07-09,,,,,636.4
40,1980-02-26,321.0,266.5,,,
51,2004-11-07,1005.6,552.8,,,872.5
51,2019-02-05,,,,1799.0,
48,2011-12-26,1160.7,,,1457.9,
25,1984-06-23,,,,,654.9
22,2006-04-15,,,,1362.7,989.7
27,2015-02-01,1246.2,,,1574.1,1165.9
48,2012-06-13,,665.7,1351.5,,1007.0
58,1987-03-03,464.7,,,,
25,2011-10-29,1183.0,,,,
59,1970-05-14,,163.6,,197.0,
30,1988-11-15,,400.8,825.3,,639.9
61,1986-02-02,456.7,341.8,771.1,,
31,2005-02-16,875.2,598.6,1215.6,1320.8,
18,2008-04-30,998.2,,,1392.0,1100.0
23,1977-12-09,,225.5,473.3,,
26,1984-07-09,,332.0,744.9,,
40,2008-01-01,1053.4,,,,
50,1990-07-26,,,,,692.6
26,1980-01-06,,,585.6,,509.7
66,1971-03-29,,,348.0,,455.1
23,1976-04-15,271.3,,449.1,,509.4
26,1975-03-09,234.6,212.8,,,
37,1997-07-18,719.4,467.1,,1086.2,865.2
39,2014-04-27,,,,1656.6,
55,1988-03-26,559.1,,,,
59,2020-07-06,1305.8,,1647.3,1877.8,1075.0
19,2020-07-03,1331.2,805.2,1826.3,,
43,1989-03-10,,380.8,787.9,,
42,1994-03-06,,,,979.7,750.7
36,1970-05-10,103.7,,,211.7,
50,1984-10-17,446.9,,,602.6,
57,1981-02-17,369.0,290.8,,519.1,
26,2004-04-22,989.1,,,,
14,2012-03-20,1155.0,,1593.0,1539.7,
53,1988-11-19,,,784.6,788.6,
17,1989-05-27,580.0,,767.3,,771.3
15,1983-06-12,421.3,,,,591.3
17,2000-05-27,803.4,547.7,,1107.9,823.4
50,1979-02-14,305.3,,516.7,522.6,569.7
58,1989-04-28,,345.1,763.4,,
62,1976-12-31,,,,435.3,492.1
33,1997-05-05,692.1,433.0,1068.6,,
37,2015-09-10,1092.6,,,,1146.4
63,1982-02-09,,,,,600.0
20,1980-02-07,351.2,,,,594.4
37,1987-07-30,,384.6,738.6,,614.1
48,1993-03-08,665.3,,934.1,922.1,797.0
29,2015-09-28,1265.5,,1605.9,1605.3,
47,2002-09-27,876.0,,,1298.2,
28,2005-07-04,,563.8,1224.6,1317.2,973.6
60,1984-04-16,,,671.0,,595.7
50,1993-05-07,657.6,449.4,,855.3,
17,2015-10-27,,,,1734.2,
17,1998-08-14,,462.3,1036.8,,910.4
52,1983-01-22,430.6,,,,640.6
55,2007-06-18,1000.0,,1203.4,1269.5,1076.0
23,1973-03-14,191.1,192.5,,,
22,1979-03-19,,,560.7,,554.0
64,2005-08-09,944.8,519.5,,,1042.5
62,1979-06-10,325.1,,509.9,529.5,556.5
46,2001-08-10,852.0,550.7,1128.6,,
38,1982-12-09,428.9,281.0,,621.4,639.0
23,2018-02-21,,,1738.7,1772.9,1222.1
25,1977-12-29,,233.5,525.0,,484.8
21,1989-04-04,576.0,,,,680.4
67,2009-02-22,,559.9,1381.6,,966.3
15,1998-08-03,833.3,,,,847.5
21,2013-03-02,,663.3,1513.2,,997.2
22,1992-08-17,616.1,,,888.9,789.0
58,1981-10-26,,,608.1,547.0,
37,2005-12-22,,562.1,1253.9,,
56,2000-01-12,,,,,893.1
34,2016-06-28,1278.5,754.6,1444.3,1686.7,
29,1975-09-01,232.2,202.0,431.3,375.0,477.7
52,1991-10-20,641.0,400.8,949.5,808.9,
22,1976-05-28,,,,425.8,481.9
43,1994-06-08,,,1060.1,1037.4,
40,1989-06-08,,,907.4,782.3,637.2
14,1987-02-21,,323.2,,719.0,609.0
56,2018-08-13,1219.8,,,,1120.8
37,1972-05-28,,,365.3,,
38,2009-03-07,950.7,,1414.7,1346.7,
21,2014-02-18,,,,1533.3,1028.6
38,2008-07-10,,,1232.9,1398.1,965.2
58,2007-05-14,956.4,548.1,1231.6,1255.2,923.1
17,1998-07-31,821.0,453.0,,,930.8
51,1987-05-09,481.9,,,,693.3
16,1985-01-12,,,,,589.8
24,1976-11-05,,,464.7,386.3,553.2
52,2015-10-20,,680.8,1429.2,,
16,2015-02-18,,,1465.6,,1164.6
26,2005-09-30,,,,,884.1
41,2018-11-04,1245.1,724.8,,1638.0,
63,1986-07-08,,333.4,,660.8,714.1
38,2002-04-17,,536.7,1188.2,,820.0
47,2016-08-11,1270.4,767.0,,,
58,1991-10-09,619.3,410.4,,,
27,2018-06-29,1358.7,712.3,,,1245.7
45,2004-01-28,848.4,,,,998.7
65,2013-01-05,,,1523.5,,
49,1971-06-15,126.4,,,258.2,452.2
57,2019-03-24,1275.0,,1656.4,,
31,2015-08-19,,,,,1145.6
27,1983-05-13,410.2,334.5,,576.5,623.3
23,1981-11-28,354.9,,,,
23,2001-05-25,778.5,528.7,,,924.7
23,2009-10-15,,586.7,,1403.3,
62,1981-10-29,348.2,,615.4,,644.0
23,1983-12-02,,,,601.0,564.2
58,2013-06-08,,650.2,,1470.4,1067.3
29,1970-12-19,,,305.6,,
47,1976-03-26,,,495.9,412.5,
25,1989-10-06,574.6,367.4,791.9,,656.4
33,2001-06-04,802.0,,1214.3,1085.3,889.0
51,1971-06-04,,,342.8,241.0,
37,1995-02-09,647.4,403.1,1076.4,1054.1,766.0
29,1984-03-01,,,637.6,620.9,
25,1976-04-09,234.6,201.9,507.6,381.3,525.5
45,1990-12-15,602.7,,,,708.2
36,2014-01-29,1036.5,706.0,1563.3,1662.5,
51,1994-09-24,,458.3,927.3,993.4,711.7
41,1976-03-01,237.7,200.9,,420.1,524.7
26,1975-04-26,247.0,,,,
16,2015-04-02,1199.5,,,1618.6,
63,2011-06-02,1015.9,,,,
37,1976-02-19,227.0,216.6,,371.2,
42,1995-02-02,635.2,453.4,1079.0,,787.0
33,1999-10-19,728.2,,1103.0,1038.3,803.7
51,2005-09-15,,573.8,1339.8,,931.8
52,2000-05-26,,469.4,1195.7,1258.6,
44,2011-06-08,1157.1,,1422.2,1412.4,
35,2000-04-25,,526.1,1152.5,,826.9
59,2012-10-17,,702.1,1609.1,,
38,1972-10-04,,,,,406.2
36,2016-10-29,1189.3,,,,
22,1978-05-12,,257.9,,,504.9
34,2017-10-08,,,1524.9,1768.3,
42,2000-02-20,,509.6,,1163.9,848.5
55,2012-07-26,1044.4,608.4,,1561.2,
61,2017-03-20,1275.0,668.6,,,
17,2013-08-01,1225.4,,,1723.7,1181.3
54,2012-06-13,1123.7,585.8,1358.1,,966.7
22,1985-10-25,,,,651.7,594.2
29,2004-09-12,842.3,571.6,1224.0,1201.2,
53,1974-01-29,182.7,211.5,,355.7,
66,1971-11-30,,,,247.1,403.9
46,2010-08-19,1080.4,,1316.0,,935.5
55,1971-02-01,114.6,177.2,,227.6,
48,2002-09-18,,,1091.6,1129.9,
31,2015-07-13,,640.1,,1549.9,1055.6
55,2015-10-15,,,1581.8,,
14,2009-12-03,992.4,673.6,1404.8,1452.8,941.8
43,1992-06-27,614.5,,,,824.3
50,1981-05-25,392.2,283.6,665.2,598.6,584.3
59,1997-08-22,,500.1,,1088.7,910.5
52,1990-02-19,,,769.7,878.8,
34,1994-02-03,628.8,435.8,896.2,,
53,1989-11-19,,403.3,,794.4,
35,2006-04-05,,610.3,1286.7,1354.5,
55,1998-02-06,,471.1,1034.1,,779.1
44,1996-01-30,758.3,,,921.0,753.8
26,1991-06-05,629.2,363.0,836.2,,751.9
43,2007-10-15,,597.5,,,
23,2012-01-19,1115.9,,,1373.5,
29,2020-03-29,1404.8,787.7,1762.1,1618.8,1078.1
19,1977-01-12,257.8,,528.5,,518.8
60,1998-12-04,746.8,,,1112.7,793.0
18,1984-01-14,461.7,,703.3,,561.4
30,1998-03-13,,,,1046.8,
40,2012-08-22,,,,,996.3
44,1989-10-10,595.2,,790.0,874.5,
41,2019-03-12,1150.0,,1604.2,,
39,2019-11-21,1202.5,757.2,,1911.1,1299.9
54,1980-09-21,,,567.7,557.3,
59,1978-02-21,,264.2,,450.2,567.4
43,2001-06-13,840.2,,1075.4,1297.0,940.0
28,2016-11-07,,651.1,1704.2,,1219.8
62,1996-02-13,685.7,,1101.9,1038.8,801.7
26,2005-06-17,846.0,527.4,1264.1,1201.8,
24,1987-03-31,,,,,726.2
48,2020-02-10,,,1541.9,1617.2,1302.0
66,1991-04-25,,396.6,,,
18,1996-03-04,,,995.1,,
64,1989-05-12,593.7,376.1,,,
14,2014-03-24,,641.0,,1524.6,
45,1988-08-20,,388.4,765.0,,
17,1993-12-31,,,985.5,,
54,2002-04-07,903.5,503.2,,,930.7
63,1973-06-20,192.6,185.1,408.4,312.6,487.3
47,1995-02-23,746.1,487.7,949.0,,
39,1983-06-26,404.4,280.1,676.7,,
60,1988-11-20,,,761.2,,
33,2019-06-16,1301.9,679.7,1530.8,,
39,1994-02-01,676.9,397.3,,,846.0
61,2007-05-16,907.0,,1397.8,,
30,2020-05-13,1269.3,723.1,,1783.7,
27,1983-08-31,408.8,304.6,,,569.6
66,2009-05-30,,632.9,1392.7,,
66,2003-04-24,966.0,518.6,1299.9,1193.9,913.0
55,1985-05-09,488.2,,,726.1,596.8
22,1972-12-02,182.9,,,287.0,
59,2013-06-17,,,,,1001.6
37,2011-06-06,,,,,1115.7
37,2014-05-06,1129.9,726.8,,,1000.7
37,2012-06-15,1126.2,710.1,,,
67,2006-12-06,,,,,1055.4
25,1978-05-20,,272.9,518.9,,
64,2004-05-15,,,1160.4,1273.3,
42,1999-03-25,,,,1176.9,791.0
49,2002-09-04,,,1228.7,1132.1,
21,1990-06-07,,,932.2,898.1,672.7
14,2008-07-30,,,,,1014.0
42,2019-02-19,1168.0,657.3,,,1056.1
50,1996-11-08,,505.8,,1005.4,
45,2012-10-24,,,1498.2,1577.3,1147.9
41,2002-01-22,,505.5,,1132.2,
39,1977-04-01,,237.5,,,499.8
66,1985-04-25,,,,629.9,694.8
23,1973-05-10,178.2,,366.9,,
19,1988-09-17,,340.4,813.3,,
28,2007-04-19,,555.5,1269.3,1261.7,917.1
57,2013-03-23,,697.5,1354.7,1533.9,
21,1977-02-23,282.6,,,,550.2
57,2016-08-21,,676.5,1441.2,,1095.6
59,1992-04-21,650.4,,947.7,,
41,2019-08-05,,,,1727.4,1156.7
29,1975-02-15,204.8,,438.3,336.7,
23,2000-11-05,796.4,552.1,,,856.1
17,1992-09-09,,,,,717.1
41,2009-09-16,935.6,653.8,,1301.7,
39,1973-12-02,202.0,198.0,394.3,,
30,2013-05-26,,,1460.4,1412.3,
26,1995-09-09,,,,,826.1
47,1989-08-22,554.6,366.0,,,666.0
60,1972-04-20,,164.3,335.2,,
56,1981-12-30,394.9,277.2,,,
60,1983-02-01,390.7,292.6,684.9,,
36,1972-01-16,,,,,451.7
35,1988-09-03,494.2,,,,696.1
18,1981-09-15,,,649.8,,575.1
15,2018-05-06,1209.3,,1586.9,,1181.7
30,1978-05-15,,228.5,575.7,487.8,513.7
26,1991-02-23,576.1,374.2,923.0,,
31,2001-06-16,,,1277.0,1165.4,926.5
35,2009-04-23,,,,1397.3,1078.6
21,2020-11-20,1326.3,772.2,,1666.5,
22,1970-02-16,,165.4,317.5,200.1,441.7
22,2017-06-08,1138.0,730.2,,,
48,1976-05-06,,,507.4,390.5,536.8
52,1984-04-23,475.2,324.3,,587.1,
35,2005-10-07,,549.0,,,
36,2017-04-07,,680.2,1444.5,,1068.7
22,1974-04-10,194.4,,,,
54,2012-03-02,989.5,,1337.8,1528.1,1124.6
28,1986-11-19,,,,782.9,
32,1974-08-23,,,400.1,,479.3
46,1993-12-05,,,955.8,,701.4
20,2008-01-27,1040.9,594.5,1428.0,1281.4,1038.9
30,1981-01-04,,256.2,,,571.1
51,1999-09-17,859.9,,1008.0,,826.0
47,1978-03-28,,,,,576.5
51,2012-01-23,,604.9,,1399.9,
49,2011-11-09,,640.5,,1376.0,
44,1994-12-08,684.3,475.4,,,
58,2012-03-25,,631.5,1450.9,,1164.6
42,1975-01-02,,,,,474.5
42,2020-02-22,1188.7,,1771.3,1629.8,1195.0
66,2016-10-15,1267.5,,,,
57,1996-01-24,671.0,411.2,960.7,,
54,2000-02-11,,,1181.6,1079.7,909.1
64,1996-11-10,694.7,,982.7,1108.4,
53,1991-07-24,,371.5,945.8,,696.8
30,1981-09-17,378.6,283.7,636.3,534.5,
15,1999-11-04,,532.7,,,
61,1991-11-04,,421.2,882.4,947.8,758.5
50,1976-10-30,251.7,251.8,495.6,451.0,488.9
59,1980-07-13,,284.2,,545.3,
57,1993-12-23,708.3,421.9,943.1,924.3,814.9
60,2009-01-26,975.6,568.2,,,945.0
25,1987-05-17,,,,817.9,663.1
35,1977-03-03,,,,417.1,482.4
33,1996-01-07,,,,1044.8,
15,2020-05-16,,,,1645.4,
62,2006-06-28,,,1425.2,,889.9
25,2001-10-01,,,1240.6,1211.0,
52,2015-01-15,,,1425.3,,1162.8
44,1980-01-03,313.4,244.8,,,
53,1985-03-03,,,719.3,633.8,680.5
24,2014-04-22,,,,,1118.9
56,1996-12-20,,509.9,957.1,,
38,1997-04-21,,,1150.3,,
25,1987-01-30,,328.4,808.2,,
27,1992-02-22,628.5,448.0,932.8,950.5,716.7
28,2017-01-30,,,,,1086.2
36,2019-09-05,,799.7,,1658.1,
63,1994-03-22,633.0,414.3,,1017.1,773.1
18,2019-05-20,,,,,1092.9
34,1981-11-13,387.3,,,544.6,
60,1990-08-06,611.1,,872.6,,
46,2008-05-13,1050.3,548.8,1419.9,,
55,1990-05-19,,417.2,,857.1,
55,1970-11-20,111.5,145.2,,225.1,
62,2008-11-11,1108.6,,1497.4,,1022.4
18,1973-04-16,,,,,439.3
29,1982-03-15,,293.4,689.4,593.1,
14,1992-11-16,,421.0,,,
64,1993-02-16,705.9,384.4,898.8,,
44,2019-06-06,,730.8,,,
48,2016-01-08,1213.3,,1457.6,,
19,1997-07-01,,,1110.4,,906.9
19,1997-05-14,713.5,,1090.3,1054.2,852.9
53,1973-01-25,,180.2,,,425.1
37,2004-10-24,960.3,555.7,,,866.1
57,1995-11-18,,481.7,1102.7,942.3,832.0
15,1991-11-12,,378.8,969.9,,721.9
65,2003-05-31,830.8,,1330.9,1169.7,
29,2009-09-01,1135.5,657.9,1328.3,1579.2,1079.7
34,1984-09-26,408.6,346.3,,637.7,595.7
33,1972-08-18,159.2,,,264.7,
58,2005-05-28,1021.8,563.8,1170.8,1314.4,863.2
63,1999-06-06,,,,1123.6,881.6
37,1973-11-18,,212.7,421.1,305.2,
51,1984-10-27,417.0,,,,636.2
33,1996-07-03,,467.8,932.8,1016.7,801.8
61,1989-10-02,557.0,,,,739.9
32,2015-09-02,1076.3,,1401.8,,
26,2011-11-03,1169.2,620.2,1306.0,,
25,1995-06-10,688.0,,,1092.1,721.7
37,1978-02-16,265.4,,488.4,,547.6
15,1973-10-10,195.2,,380.3,290.0,488.1
38,1979-06-14,324.2,264.9,511.1,,566.7
45,1995-03-05,717.9,,,898.8,
27,1983-02-19,373.5,334.6,600.7,615.5,
32,1972-12-11,180.7,176.8,352.7,296.3,413.1
62,2004-12-20,,,1367.2,,863.7
33,1979-02-06,297.2,257.1,592.0,523.6,596.3
62,2005-12-31,,550.1,1410.3,1299.8,
14,2002-11-28,,507.6,1104.7,1328.4,966.7
45,2004-02-04,,,1336.0,,874.3
60,1987-01-09,,,773.2,753.1,612.3
58,1979-02-01,317.8,,,,
63,2019-08-24,,764.7,,1615.9,
42,2006-01-19,,534.1,1242.3,,1047.7
33,1983-09-12,,,,681.0,653.6
25,1990-03-26,619.6,,,,
46,2015-02-14,,,,1473.6,1180.4
16,2017-10-24,,,1490.2,,1250.7
67,2019-01-28,,687.1,1567.2,1860.2,
67,1982-10-01,401.6,324.7,,615.5,589.1
23,2012-05-18,987.9,,,1512.6,1123.9
20,1992-05-30,639.7,449.9,965.1,835.2,
33,1985-10-29,456.6,313.4,752.3,,
56,1987-03-26,,,,803.1,700.2
44,1979-05-08,332.4,,607.5,503.2,573.9
37,2017-10-27,,748.4,,,
44,1984-05-27,,,636.2,656.4,579.4
17,2008-11-02,1065.0,,1329.4,,
67,1971-11-26,137.1,186.3,340.1,278.2,
67,1970-01-21,,145.2,,205.1,432.9
53,2013-08-31,1053.3,697.3,1566.4,,
16,1984-01-19,,288.5,,,624.1
55,1978-05-27,,226.4,,499.5,549.7
49,2014-01-09,1082.3,,1426.9,,
41,1996-09-14,,,,979.4,799.4
50,1982-02-17,378.4,,,,564.2
18,1975-03-16,229.7,229.4,403.0,370.2,
51,2017-03-09,1289.0,,1568.6,1688.5,1120.2
35,1979-10-19,,,,,591.2
42,2016-12-12,,700.4,1595.9,1638.3,
28,1981-08-09,397.6,,,,
32,2020-08-04,,,1679.0,,1149.4
35,1982-08-20,,,622.0,,646.2
37,1983-03-27,427.9,,628.6,,
26,2008-03-07,1082.4,,,,
34,1998-11-26,,443.2,1083.7,1183.5,847.7
56,1993-06-18,,408.0,1030.5,892.9,695.1
15,1992-06-17,688.6,,,936.2,
28,1991-06-23,644.1,373.6,,829.0,
25,2009-03-10,1010.4,589.7,,,
56,1997-06-12,741.0,445.8,,995.2,
20,1998-07-06,,474.3,1176.0,,
46,2004-10-01,,,1292.7,1317.4,
24,1970-06-11,,,342.0,,
55,1984-06-03,401.4,331.3,670.8,,
34,2006-07-31,900.6,,,,
17,2004-04-21,,,,1197.9,888.3
33,1996-12-07,,428.8,1000.9,,834.5
67,1973-03-22,158.6,171.4,361.1,327.1,
40,1985-12-20,446.6,,,707.6,615.9
43,2020-01-18,,,,1651.7,1218.9
56,1984-12-15,,341.3,,609.3,648.5
59,2012-08-10,1071.4,710.5,,,1004.4
25,1991-05-10,,,,950.2,723.1
40,2010-08-23,1102.6,,1434.0,,
51,2006-02-01,,,,1212.7,922.5
30,1988-09-17,,,,709.8,
36,1982-08-31,,275.7,,,644.4
46,1970-08-20,118.9,,,200.3,
21,1982-10-22,421.1,311.5,598.9,,587.4
65,1989-12-03,621.2,373.5,,,680.0
19,1987-10-10,550.5,,,,685.9
40,2005-08-17,,,,1304.7,975.4
14,1994-07-12,611.3,415.5,,,847.3
50,1979-12-24,,272.7,520.8,498.3,
56,2018-02-19,1226.1,724.0,1770.0,1631.0,1168.2
41,1982-12-31,,,,587.9,593.9
47,1998-09-30,,,,1007.4,
23,1998-06-24,806.1,,1168.0,1128.7,
24,2008-08-14,977.7,,1375.8,1321.6,1010.3
14,1977-11-30,,248.1,550.6,,
55,1992-11-18,641.9,438.7,874.9,,
53,2000-06-01,839.2,505.0,1098.0,1098.1,864.7
46,1970-02-07,105.1,143.5,322.9,,387.1
36,2004-10-25,850.0,,,1168.8,980.1
43,1978-06-04,306.2,,,496.0,533.0
36,2017-12-20,,691.4,,1869.1,
41,1996-08-31,712.1,,,1047.8,877.9
44,1982-12-03,365.9,,630.7,,552.9
34,2010-01-05,,,1297.9,1574.9,960.2
61,1972-01-29,,163.6,348.7,282.6,
41,1990-05-01,545.0,395.6,,,708.0
19,1976-09-05,239.6,,,,
16,1985-06-07,,,691.3,,652.1
46,1994-07-13,642.5,410.4,951.2,,
21,2016-02-19,,,,1519.1,1131.8
34,1971-11-30,132.0,185.2,,,
32,1975-03-03,212.6,190.6,438.6,372.4,
45,1984-12-20,427.9,355.3,,638.2,
65,2015-09-19,,719.5,,1696.6,1034.6
57,2009-08-24,1047.6,,1434.1,,1100.3
49,1996-08-30,,484.9,942.2,1071.1,864.7
22,2010-10-19,1026.7,611.3,,1381.5,1002.8
53,1999-05-02,814.5,,,,787.2
25,1970-02-02,93.4,139.4,328.8,206.8,411.2
33,1997-03-24,,500.0,1074.7,,793.7
16,2011-11-09,,696.4,1503.4,1560.0,
58,1999-06-27,,,1137.6,,821.5
23,1997-08-10,737.3,436.6,1012.1,989.0,837.9
24,2010-01-31,1130.4,646.5,,,996.8
32,2013-11-24,1169.0,,1574.0,1615.8,
59,1997-03-08,756.2,,1067.7,,
25,1984-02-03,,297.0,,687.2,
14,1996-03-10,684.9,,,1055.2,
17,1983-05-02,446.0,,625.6,661.9,614.9
33,1993-03-20,684.5,,,905.1,
51,2019-12-26,1212.8,708.1,,1823.4,1165.8
43,2001-04-23,866.8,534.3,,,959.8
54,1997-02-27,756.0,480.9,,,
38,1980-02-06,,,596.4,474.9,
58,1975-12-30,235.5,,,,
57,1972-02-15,162.0,166.7,380.3,253.6,461.6
26,1989-07-24,562.2,405.2,836.9,818.2,
54,2016-11-09,,,1743.4,1606.5,1232.6
38,1987-05-13,,344.0,,742.8,
52,1979-12-17,342.7,,,,
24,1995-10-07,,,,937.2,
25,1985-01-08,,325.7,,670.3,637.3
16,1974-03-07,194.1,,450.9,321.4,422.4
60,2006-02-07,863.2,,,1426.7,1059.9
38,2011-09-13,1089.8,644.7,1526.1,,998.5
62,2020-10-10,,695.0,,1687.2,
65,1989-04-05,,,,872.1,
46,2002-11-03,,528.6,,1321.2,938.6
18,2012-06-19,1027.1,,1544.4,1636.1,1033.1
57,1977-04-07,268.6,,,,
26,1994-06-24,610.3,413.4,,1040.9,737.2
48,1991-01-22,,412.1,,866.3,669.9
63,1999-11-05,781.7,467.1,,,
47,1994-03-20,,406.6,,,
16,1998-10-05,771.5,476.4,,1127.9,911.0
26,1975-05-23,,207.4,,,448.0
66,1986-10-29,470.7,,761.5,,
16,1997-08-28,,,992.7,,879.9
27,1983-12-14,393.3,,,620.5,
46,1979-06-08,333.7,,,450.5,
16,1980-12-30,,267.8,565.5,568.9,
22,2016-05-22,,,,,1168.0
60,1985-09-18,,336.8,691.4,649.3,
51,1972-11-19,163.1,,,,
41,2011-12-16,1065.6,,1454.3,,
43,1977-06-30,,,476.2,,
59,2001-07-09,,540.4,1192.1,1071.7,941.4
65,2007-07-27,900.9,,,1335.2,907.4
58,2014-01-09,,,1558.0,1486.6,
25,1992-02-08,644.0,,975.0,956.8,
17,1977-12-26,,,534.5,465.5,
38,1976-02-13,245.8,206.5,499.5,,
43,1979-02-17,,282.9,,,
36,2010-12-28,,578.7,1311.6,,
55,1978-09-26,,247.4,,,543.6
17,1992-09-30,618.8,,,,
25,1979-07-04,,,547.1,510.1,572.3
14,2010-04-18,983.2,562.6,1338.3,,
19,1992-06-25,,428.3,862.5,,
37,1994-07-21,,437.4,,1003.0,841.8
52,2002-08-30,,,,,952.1
61,2016-12-28,1091.8,,,,
43,2012-02-19,,698.6,,,
34,2016-12-15,1316.4,,1661.9,,
31,1990-11-12,555.8,,,923.9,
30,1978-01-10,291.3,256.9,,,
46,1998-12-24,,536.9,,1138.1,925.6
57,1999-11-02,742.3,551.0,,,
54,1978-01-15,277.9,220.5,531.0,,521.5
50,2009-01-22,,650.9,,1489.7,920.8
47,2007-03-27,,,,,909.9
60,1977-05-28,249.6,,,,
63,2019-04-19,1313.6,702.2,,1799.0,1063.6
52,1978-05-02,316.6,241.9,,485.5,
33,2020-12-03,,736.0,,,
35,1983-04-24,,325.9,,,562.1
67,1986-07-30,,342.8,,749.6,609.5
63,1973-02-22,186.3,168.5,,304.7,
14,1999-04-30,841.0,,,,
23,2003-04-11,,567.7,1233.8,,
26,1986-12-27,,,817.6,771.1,701.1
34,1997-10-02,767.8,459.1,993.0,999.2,816.1
45,2000-05-20,801.9,,1085.9,,829.9
38,2020-12-22,,,1539.5,,1192.7
42,1987-01-14,531.0,,,,
50,1982-08-24,360.8,323.2,,,567.2
66,1998-08-02,765.9,,1189.3,,822.3
24,1979-01-30,,269.4,,,541.0
39,2011-07-21,1002.9,599.6,,,967.7
42,2008-12-12,,637.5,1483.7,,988.5
42,2006-03-17,,522.6,,,
28,1985-06-26,440.8,334.8,793.6,647.7,
58,1991-07-08,623.8,,,873.4,
45,1976-10-31,247.7,,491.8,,
32,1991-11-16,,,,,802.6
56,1982-08-05,,,660.1,627.7,
54,1979-02-02,,,,,591.4
39,1980-03-02,337.2,264.8,,481.2,
43,1975-12-27,,225.3,,,
34,1981-10-25,380.1,271.5,589.4,580.4,544.1
61,2011-08-22,,,,1398.9,1120.6
35,1971-05-29,133.5,,350.4,,440.5
65,2002-03-26,,,,,821.7
33,2017-02-11,1089.7,756.9,1479.2,1603.6,
16,2005-05-23,915.5,,1289.7,,
48,2013-06-08,1188.7,669.7,1403.5,1713.0,993.6
32,2007-01-03,,615.7,,1278.6,1044.5
57,1977-10-22,273.5,,545.4,401.3,522.4
39,2003-08-09,853.4,,1130.9,1270.5,
14,1978-03-31,318.0,,,,544.0
15,2015-10-25,1095.2,649.4,,,1098.3
36,2013-03-27,,686.8,1533.6,1521.5,1121.6
55,1985-02-26,,,691.4,635.1,
